node	gene_type
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-146a-5p	miRNA_name
hsa-miR-146a-5p	miRNA_name
hsa-miR-122-5p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-148a-3p	miRNA_name
hsa-miR-148a-3p	miRNA_name
hsa-miR-148a-3p	miRNA_name
hsa-miR-148a-3p	miRNA_name
hsa-miR-148a-3p	miRNA_name
hsa-miR-148a-3p	miRNA_name
hsa-miR-148a-3p	miRNA_name
hsa-miR-93-5p	miRNA_name
hsa-miR-9-5p	miRNA_name
hsa-miR-9-5p	miRNA_name
hsa-miR-9-5p	miRNA_name
hsa-miR-9-5p	miRNA_name
hsa-miR-9-5p	miRNA_name
hsa-miR-9-5p	miRNA_name
hsa-miR-9-5p	miRNA_name
hsa-miR-9-5p	miRNA_name
hsa-miR-765	miRNA_name
hsa-miR-7-5p	miRNA_name
hsa-miR-7-5p	miRNA_name
hsa-miR-661	miRNA_name
hsa-miR-659-3p	miRNA_name
hsa-miR-562	miRNA_name
hsa-miR-559	miRNA_name
hsa-miR-548d-3p	miRNA_name
hsa-miR-532-5p	miRNA_name
hsa-miR-504-5p	miRNA_name
hsa-miR-485-3p	miRNA_name
hsa-miR-451a	miRNA_name
hsa-miR-451a	miRNA_name
hsa-miR-451a	miRNA_name
hsa-miR-451a	miRNA_name
hsa-miR-429	miRNA_name
hsa-miR-429	miRNA_name
hsa-miR-429	miRNA_name
hsa-miR-429	miRNA_name
hsa-miR-375	miRNA_name
hsa-miR-375	miRNA_name
hsa-miR-375	miRNA_name
hsa-miR-375	miRNA_name
hsa-miR-375	miRNA_name
hsa-miR-375	miRNA_name
hsa-miR-375	miRNA_name
hsa-miR-373-3p	miRNA_name
hsa-miR-372-3p	miRNA_name
hsa-miR-372-3p	miRNA_name
hsa-miR-372-3p	miRNA_name
hsa-miR-372-3p	miRNA_name
hsa-miR-34b-5p	miRNA_name
hsa-miR-34b-5p	miRNA_name
hsa-miR-34b-5p	miRNA_name
hsa-miR-34a-5p	miRNA_name
hsa-miR-34a-5p	miRNA_name
hsa-miR-34a-5p	miRNA_name
hsa-miR-34a-5p	miRNA_name
hsa-miR-346	miRNA_name
hsa-miR-328-3p	miRNA_name
hsa-miR-328-3p	miRNA_name
hsa-miR-328-3p	miRNA_name
hsa-miR-328-3p	miRNA_name
hsa-miR-326	miRNA_name
hsa-miR-31-5p	miRNA_name
hsa-miR-31-5p	miRNA_name
hsa-miR-31-5p	miRNA_name
hsa-miR-31-5p	miRNA_name
hsa-miR-302d-3p	miRNA_name
hsa-miR-302d-3p	miRNA_name
hsa-miR-302d-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-29b-3p	miRNA_name
hsa-miR-298	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-26a-5p	miRNA_name
hsa-miR-24-3p	miRNA_name
hsa-miR-24-3p	miRNA_name
hsa-miR-24-3p	miRNA_name
hsa-miR-24-3p	miRNA_name
hsa-miR-24-3p	miRNA_name
hsa-miR-24-3p	miRNA_name
hsa-miR-24-3p	miRNA_name
hsa-miR-223-3p	miRNA_name
hsa-miR-223-3p	miRNA_name
hsa-miR-223-3p	miRNA_name
hsa-miR-223-3p	miRNA_name
hsa-miR-223-3p	miRNA_name
hsa-miR-223-3p	miRNA_name
hsa-miR-223-3p	miRNA_name
hsa-miR-223-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-222-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-221-3p	miRNA_name
hsa-miR-217	miRNA_name
hsa-miR-217	miRNA_name
hsa-miR-214-3p	miRNA_name
hsa-miR-214-3p	miRNA_name
hsa-miR-214-3p	miRNA_name
hsa-miR-214-3p	miRNA_name
hsa-miR-214-3p	miRNA_name
hsa-miR-210-3p	miRNA_name
hsa-miR-210-3p	miRNA_name
hsa-miR-210-3p	miRNA_name
hsa-miR-210-3p	miRNA_name
hsa-miR-210-3p	miRNA_name
hsa-miR-210-3p	miRNA_name
hsa-miR-210-3p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-21-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-20a-5p	miRNA_name
hsa-miR-206	miRNA_name
hsa-miR-206	miRNA_name
hsa-miR-206	miRNA_name
hsa-miR-206	miRNA_name
hsa-miR-204-5p	miRNA_name
hsa-miR-204-5p	miRNA_name
hsa-miR-204-5p	miRNA_name
hsa-miR-204-5p	miRNA_name
hsa-miR-204-5p	miRNA_name
hsa-miR-204-5p	miRNA_name
hsa-miR-204-5p	miRNA_name
hsa-miR-204-5p	miRNA_name
hsa-miR-200c-3p	miRNA_name
hsa-miR-200c-3p	miRNA_name
hsa-miR-200c-3p	miRNA_name
hsa-miR-200c-3p	miRNA_name
hsa-miR-200c-3p	miRNA_name
hsa-miR-200c-3p	miRNA_name
hsa-miR-200c-3p	miRNA_name
hsa-miR-200c-3p	miRNA_name
hsa-miR-200b-3p	miRNA_name
hsa-miR-200a-3p	miRNA_name
hsa-miR-199b-5p	miRNA_name
hsa-miR-199b-5p	miRNA_name
hsa-miR-196a-5p	miRNA_name
hsa-miR-196a-5p	miRNA_name
hsa-miR-196a-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-195-5p	miRNA_name
hsa-miR-18a-3p	miRNA_name
hsa-miR-181c-5p	miRNA_name
hsa-miR-181c-5p	miRNA_name
